name,last_names,age,gender,group_index,rank_index
Cecilia,Rojas Mendoza,27,Femenino,361,8
Freddy,Durán Álvarez,20,Femenino,753,7
Sofía,Rodríguez Sánchez,24,Masculino,330,6
Esteban,Mejía Correa,25,No binario,512,6
David,Flórez Rentería,25,Femenino,787,6
Eduardo,Álvarez Ramírez,42,Masculino,71,4
Marcela,Mosquera Contreras,30,Masculino,313,8
Alirio,Rojas Caicedo,29,Masculino,728,5
Carlos,Arias Rodríguez,42,Femenino,79,5
Gilberto,Rodríguez Contreras,29,Femenino,169,5
Rosa,Herrera Loaiza,49,Femenino,180,2
Margarita,Bernal Pinto,37,No binario,628,4
Jean,Ortega Barrera,32,Masculino,260,6
Pedro,Mora Soto,32,Femenino,486,3
Marcela,Sánchez Díaz,20,Femenino,772,6
María,Murcia Cárdenas,30,Masculino,5,4
Jorge,García Parada,30,Femenino,297,5
Ciro,Guerra Delgado,30,Masculino,620,4
Jairo,Castro Rivas,21,Masculino,360,5
Carmen,Cáceres García,22,Masculino,117,6
Fernanda,Villamizar Osorio,31,Femenino,357,5
José,Mena Ocampo,26,Femenino,439,5
Rosa,Granados Páez,34,Femenino,331,5
Ariel,Perea Hernández,21,Femenino,525,6
Augusto,Hurtado Ruiz,33,Masculino,654,8
Yesid,Buitrago Salgado,23,Masculino,188,6
Carlos,Arias Gómez,35,Masculino,281,4
Gabriel,Peña Hoyos,46,Masculino,511,2
Viviana,Miranda López,41,No binario,466,4
Román,Oviedo Arrieta,27,Femenino,115,6
Luz,Castillo Torres,42,Masculino,236,2
Antonio,Burbano Ortiz,32,Masculino,338,5
José,Bermúdez Campo,27,Femenino,522,6
Pedro,Gómez Guerrero,38,Femenino,199,5
Giovanni,Contreras Ávila,20,Femenino,764,7
Andrés,Morales Cruz,37,Masculino,50,3
Leidy,Cano Ávila,43,Femenino,142,3
Salvador,León Arango,19,Masculino,783,6
José,Barrios Muñoz,29,Femenino,528,5
Ángel,Gómez Ortega,27,Masculino,514,6
Didier,Gutiérrez Prieto,34,Masculino,670,5
Alveiro,Henao López,26,Femenino,30,4
Jhon,Ramírez Giraldo,18,Masculino,82,7
Consuelo,Rojas Sánchez,18,Femenino,31,7
José,Navarro Martínez,27,Masculino,748,6
Camilo,Rueda Cardona,35,Masculino,333,4
David,Barbosa Delgado,29,Femenino,660,6
Jaime,Cárdenas Gutiérrez,30,Masculino,177,5
Tatiana,Jiménez Carvajal,46,Masculino,370,3
María,Gil Torres,28,Masculino,547,8
Paul,Hernández Molina,36,Femenino,535,3
Laura,Barragán Martínez,35,Femenino,106,8
Luis,Díaz Gutiérrez,27,No binario,97,5
José,Rodríguez Ramírez,36,Femenino,230,4
David,Santos Triana,29,Femenino,227,5
Rafael,Castellanos Rangel,20,Femenino,371,7
Fernando,Correa González,24,Femenino,100,6
María,Valencia Triana,22,Masculino,445,7
Paola,Narváez Marín,23,Femenino,468,6
Felipe,López Erazo,21,Femenino,55,6
Héctor,Rincón Garcés,21,Femenino,195,7
Jairo,Rueda Marín,32,Masculino,520,4
Rafael,Vásquez Moreno,26,Femenino,424,5
Lilian,Correa Velasco,28,Femenino,315,4
Gabriel,Gómez Montes,37,Masculino,128,8
Lorena,Páez Correa,36,Prefiero no decir,32,8
Andrés,Cortés García,52,Femenino,93,2
Aurelio,Bautista Salazar,25,Masculino,519,6
Jhon,Barrera Delgado,38,Femenino,258,8
Janneth,Arango Martínez,31,Femenino,220,4
Camilo,Forero Hernández,22,Femenino,752,5
Cristian,Ortega García,29,Femenino,106,8
Milena,Gaviria Mejía,43,Masculino,548,2
Ligia,Rodríguez Vargas,26,Masculino,416,6
Giovanny,Ávila Flórez,35,Masculino,557,5
Carlos,Ramírez Ordóñez,34,Masculino,309,8
Natalia,Martínez Díaz,44,Femenino,366,8
Enith,Chávez Mercado,33,Masculino,521,8
Carmen,López Zambrano,30,Masculino,459,5
Nancy,Fernández Pedraza,21,Femenino,599,7
Carmen,López Moreno,21,Masculino,370,7
Yina,Sánchez Marín,31,Masculino,331,5
Kelly,Valencia Cardona,18,Femenino,689,7
Paola,Morales Osorio,49,Masculino,642,2
Camilo,Galvis Bolívar,32,Femenino,707,6
Adrián,Gómez Navarro,31,Femenino,11,4
Jaime,Rodríguez Hoyos,37,Femenino,507,3
Luis,Cuéllar Rodríguez,32,Masculino,419,3
Ana,Díaz Delgado,27,Masculino,122,6
José,Barragán Triana,33,Femenino,235,5
Juan,Guerra Barrios,20,Masculino,331,6
Laura,Benítez Benavides,32,Masculino,543,3
Lina,Sandoval Gallego,21,Masculino,348,5
Edison,Rodríguez Sánchez,36,Femenino,412,5
Sandra,Vargas Orozco,19,Femenino,224,7
Emilce,Osorio García,29,Prefiero no decir,153,5
Emerson,Mosquera Guerrero,23,Femenino,212,6
Sandra,Bautista Bravo,22,Masculino,92,7
Esperanza,Guzmán Delgado,26,Femenino,331,6
Abel,Valencia Hernández,37,Femenino,467,4
Eduardo,García Sánchez,40,No binario,641,2
Hernán,Oviedo Sierra,22,Femenino,709,7
Paola,Romero Cardona,49,Prefiero no decir,554,2
Harold,Barbosa Sierra,22,Femenino,228,7
Fabián,Sepúlveda Orozco,24,Femenino,194,5
Juan,Hurtado Rivera,27,Femenino,530,8
Guillermo,Velandia Díaz,24,No binario,243,7
María,Buitrago Jaimes,42,Femenino,389,8
John,Morales Ruiz,29,Femenino,276,5
Graciela,Silva Posada,20,No binario,450,7
Andrés,Rodríguez Marín,30,Femenino,639,5
Andrés,Rentería Ramos,32,Masculino,587,5
Ángela,Sánchez Correa,20,Masculino,574,6
Fredy,Ramos Calderón,21,Masculino,478,7
Teresa,Hernández Castro,27,Masculino,480,8
Andrea,Morales Portilla,20,Femenino,288,7
David,Rodríguez Quintero,26,Femenino,698,5
Rafael,Bejarano Ariza,27,Femenino,690,5
Antonio,Palacio Reyes,25,Prefiero no decir,678,6
Juan,Trujillo Montoya,32,Masculino,695,4
Fanny,Ayala Vanegas,33,Femenino,540,3
Lucy,Rincón Sanabria,35,Masculino,330,5
Yerson,Núñez Peña,30,Femenino,470,4
Alexis,Guzmán Vega,20,Femenino,759,5
Luis,Sánchez Castro,37,Femenino,534,4
José,Hernández Riascos,43,Femenino,467,2
Juan,Fernández Vargas,51,Masculino,420,1
Marlene,Rojas Molano,33,Masculino,608,8
María,Romero Ávila,35,Masculino,122,5
Rodrigo,Ángel Trujillo,37,Masculino,762,5
Gustavo,Durán Rojas,25,Femenino,308,6
Camilo,Monroy Torres,30,Femenino,334,4
Hernando,Acosta Rodríguez,33,Femenino,420,8
Maribel,Tamayo Delgado,22,Femenino,326,7
Flor,Ortiz Ramos,42,Masculino,649,3
Camilo,Pabón Rodríguez,30,Masculino,789,5
Lorena,Castañeda Martínez,19,Femenino,573,7
Olga,Cárdenas Niño,28,Masculino,250,8
Enrique,Garzón Rodríguez,29,Femenino,95,5
Victoria,Martínez Hernández,20,Femenino,296,6
Martha,Fuentes Martínez,36,Femenino,184,4
Viviana,Gómez Monsalve,33,Femenino,260,8
Augusto,Muñoz Aguilar,35,No binario,799,4
Martha,Ríos Quintero,36,No binario,667,8
José,Mosquera García,29,Femenino,186,6
Esther,Villamizar Moreno,24,Femenino,409,6
Ana,Sandoval Gutiérrez,30,Masculino,69,5
Sebastián,Córdoba Castro,33,Femenino,773,4
Mauricio,Leal Rueda,37,Masculino,627,4
Aida,Castro Villamil,34,Femenino,8,4
Lucía,Vanegas Muñoz,39,Masculino,265,4
Camilo,Peña Velasco,23,Masculino,783,7
Dario,Rodríguez Ángel,31,Masculino,484,5
Concepción,Gómez Jiménez,44,Masculino,761,2
Marina,Monsalve Londoño,31,Masculino,617,8
Jairo,Gómez Ariza,21,Masculino,775,7
Carlos,Jiménez Hernández,35,Femenino,736,8
Johanna,Calderón Ávila,31,Femenino,371,8
Marta,Salas Tamayo,36,Femenino,783,4
Enrique,Morales Álvarez,26,Femenino,677,5
Óscar,Pérez Moreno,21,Femenino,83,7
Judith,Mejía Castro,22,No binario,646,6
Luis,Rengifo Álvarez,38,Femenino,211,4
María,Vásquez Moreno,20,Femenino,313,7
Alberto,Flórez Torres,41,Femenino,604,4
Jesús,Pérez Díaz,35,Masculino,337,4
Socorro,Alzate Ortiz,30,Masculino,490,5
Yolanda,Ortega Ortiz,20,Femenino,403,6
Kevin,Castaño Contreras,29,Masculino,639,6
Juan,Espinosa Ruiz,37,Masculino,191,3
José,Maldonado Valencia,24,Masculino,671,7
César,Arboleda Ramos,35,Femenino,335,4
Octavio,Gómez Morales,37,No binario,522,3
Carmen,Herrera Escobar,19,Masculino,619,7
María,Pabón López,36,Masculino,87,8
Olga,Moreno Reyes,22,Masculino,579,7
Anderson,Peña Mejía,18,Femenino,62,7
Luz,Jaramillo García,23,Masculino,387,6
Geovanny,Montenegro Vargas,32,Masculino,146,5
Sandra,González Castillo,35,Masculino,153,3
Marcela,Martínez Padilla,26,Masculino,619,5
Ana,Morales González,30,Masculino,660,5
Alexander,Castañeda García,35,Femenino,698,4
Rosa,Durán Cardona,23,Masculino,349,6
Juan,Becerra García,37,Femenino,178,5
Dary,Cardozo Martínez,37,Masculino,487,3
María,Díaz Díaz,29,Masculino,778,4
Brayan,Suárez Zapata,20,Masculino,661,6
Andrea,Guevara Murillo,42,Femenino,247,3
Eduardo,Parra Rodríguez,18,Femenino,254,7
Fernanda,Martínez Bustamante,30,Femenino,500,5
Javier,Silva Jiménez,26,Masculino,541,5
Alejandro,Castillo Leal,24,Masculino,352,6
Erika,Salcedo Vásquez,21,Masculino,512,7
Raúl,Hernández Arroyo,24,Masculino,778,5
Yury,Leal Córdoba,23,Masculino,13,6
Brayan,Rincón Peña,27,Masculino,559,5
Ana,Gaitán Valencia,31,Masculino,151,4
Alberto,Martínez López,20,Femenino,50,7
Enrique,López Vallejo,19,Femenino,215,7
Jhon,Barrios Rivera,27,Masculino,644,6
María,Caicedo Castañeda,19,Masculino,372,7
Paula,Miranda López,21,Femenino,113,7
Fredy,Vanegas Moreno,26,Masculino,252,6
Luis,Guerrero Franco,18,Femenino,341,7
Sergio,Rodríguez Jaramillo,23,No binario,53,6
Inés,Moreno Galvis,24,Femenino,130,6
Cristian,Portilla Hurtado,25,Masculino,193,6
David,Díaz Cruz,20,Femenino,591,7
Elizabeth,Gómez Ocampo,39,Femenino,57,4
María,Córdoba Vargas,21,Masculino,97,7
Antonio,Rodríguez Sánchez,21,Femenino,198,7
Daniela,Rengifo Cantillo,42,Masculino,647,2
Hernán,Fuentes Padilla,21,Femenino,147,7
Sofía,Rodríguez León,45,Masculino,684,3
Claudia,Ordóñez Vásquez,32,Masculino,575,5
Rosario,Reyes González,28,Femenino,577,6
Edgar,Cuesta Gonzáles,33,Masculino,295,4
Nancy,Trujillo Beltrán,22,Masculino,723,7
Jhon,Montes Valencia,23,Femenino,621,7
Adriana,Mesa Castillo,30,Masculino,794,5
David,Montes Castellanos,51,Femenino,684,1
Julia,Ortiz Melo,29,Masculino,12,4
José,Romero Pinzón,24,Masculino,333,6
María,Rodríguez Velasco,35,Masculino,220,8
José,Ortiz López,22,Masculino,398,6
María,Guzmán Castañeda,29,Femenino,342,4
Juan,Vega Pulido,25,Masculino,798,6
Andrés,García Rentería,30,Femenino,512,5
Jhon,Castro Martínez,18,Masculino,172,7
Alexander,Gil Triana,38,Masculino,468,3
Laura,Aguirre Polo,21,Femenino,748,7
Rodrigo,Monsalve Arenas,35,Masculino,166,5
Judith,Ocampo Palacios,30,Masculino,699,8
Cecilia,Yepes Gómez,38,Masculino,170,5
Ruth,Mercado Guzmán,25,Masculino,564,6
Gilberto,Bustamante Ardila,26,Femenino,512,8
Leonardo,Sierra Marín,36,Femenino,189,3
Cristian,Ardila Cabrera,27,Masculino,120,8
Fredy,Rodríguez Moreno,24,Femenino,105,6
Wilson,Vargas Torres,39,Prefiero no decir,674,3
David,Molina Henao,31,Femenino,41,5
Luz,Zuluaga Cantillo,21,Masculino,677,6
Edison,Rojas Pinzón,32,Masculino,321,3
Claudia,Guerrero Moreno,26,Femenino,335,6
Sandra,Quintero Medina,32,Masculino,160,5
Alejandro,Cifuentes Henao,23,Masculino,264,6
Paola,Sarmiento Hernández,32,Masculino,530,2
Ángela,Lozano Torres,18,Masculino,685,7
Jesús,Salazar Mesa,37,Femenino,477,8
Luz,Castillo Vargas,29,Femenino,352,8
Yuli,González Andrade,23,Masculino,545,6
Carlos,Suárez Jaimes,40,Femenino,773,3
Patricia,Cortés Salazar,20,Femenino,210,7
Jeisson,Reyes Bautista,51,Femenino,496,2
Daniel,Rivera Cruz,43,Prefiero no decir,382,2
Juan,Restrepo Bonilla,26,Prefiero no decir,676,5
Andrés,Martínez Salcedo,34,Femenino,481,5
Alirio,Toro Martínez,21,Femenino,5,7
Rocío,Salgado Silva,21,Masculino,34,6
Angélica,Barreto Fajardo,31,Femenino,792,5
Nelson,Ortiz Ospina,33,Femenino,145,4
Manuel,Gómez Medina,27,Femenino,351,8
Sandra,Galvis Cerón,30,Masculino,583,5
Ángela,Díaz Roa,29,Masculino,465,5
Inés,Pérez Londoño,28,Masculino,348,4
Johan,Yepes Pineda,18,Femenino,742,7
Teresa,Carrillo Bolívar,30,Prefiero no decir,125,6
Nel,Morales Rodríguez,35,Masculino,790,4
Tatiana,Melo Orozco,43,Femenino,271,3
Amparo,González Moreno,25,Masculino,357,6
Eduardo,López Monroy,28,No binario,527,6
María,Ramírez Alzate,37,Femenino,754,4
Alejandro,Serrano Sandoval,28,Masculino,498,8
Elena,Valderrama López,37,Masculino,153,4
Carlos,Ortega García,26,Masculino,53,5
Carmen,Parra García,37,Prefiero no decir,149,8
María,Pinto Vargas,30,Masculino,503,5
Martín,Toro Herrera,25,Femenino,450,6
Luisa,Pérez Saavedra,28,Masculino,219,5
Luis,Vera Rodríguez,38,No binario,625,4
María,Marín Osorio,32,Masculino,800,8
Felipe,González Fernández,22,Masculino,277,5
Eugenia,Londoño González,18,Masculino,452,7
Pedro,Cárdenas Muñoz,29,Masculino,428,4
Antonio,Luna Duarte,38,Masculino,83,4
Irene,Hernández Martínez,49,Femenino,218,2
Carlos,Rodríguez Cruz,25,Masculino,738,6
Lucía,Manrique Vergara,31,Femenino,782,5
Juan,Castaño Gómez,23,Masculino,527,7
Felipe,González Martínez,31,Masculino,404,5
Angie,Durán Valencia,36,Masculino,290,8
Ferney,Santos Bedoya,34,Femenino,420,4
Juan,Ordóñez Mejía,20,Masculino,339,7
Jesús,Martínez Figueroa,20,Masculino,777,7
Edgar,Herrera Pérez,25,Femenino,711,7
Cristina,Agudelo Durán,18,Masculino,670,7
María,Molina Pineda,21,Femenino,419,7
David,Campo Benavides,20,Masculino,207,6
Isaac,Mora Sandoval,35,Masculino,686,3
Amparo,Cabrera Velásquez,48,Femenino,696,2
María,Ceballos Vargas,23,Masculino,265,8
Yuli,Bohórquez Valencia,27,Masculino,758,6
Sebastián,Pineda Pinzón,25,Femenino,36,7
Martha,Caicedo Castro,31,Masculino,373,5
Valentina,García Vergara,43,Femenino,488,3
Melissa,Zuluaga Rosero,38,Femenino,259,3
Erick,Sánchez Velandia,27,Femenino,531,6
Mireya,Sánchez Acosta,31,Masculino,23,5
Iván,Padilla Ochoa,32,Femenino,104,4
Felipe,Hurtado Cruz,27,Masculino,241,5
Gilma,González Parra,42,Masculino,716,3
Johana,Naranjo Álvarez,24,Femenino,253,6
Moisés,Mesa Vera,34,Masculino,142,4
Elizabeth,Sandoval Sepúlveda,20,Masculino,655,7
Mireya,Serrano Uribe,31,Masculino,451,5
Cecilia,Benítez Cantillo,25,Prefiero no decir,783,5
Manuela,Castro Erazo,51,Masculino,307,1
Javier,Pérez Ortiz,39,Masculino,500,3
Gloria,Ramírez Galvis,24,Femenino,622,5
Estiven,Peña Caicedo,30,Femenino,8,5
María,Jaimes García,22,Masculino,69,6
Camilo,Chaparro Osorio,31,No binario,702,5
Wilson,Obando Pérez,31,Masculino,691,6
Didier,Herrera Fonseca,20,Masculino,575,7
María,López Álvarez,18,Masculino,68,7
Marina,Barragán Escobar,46,Femenino,718,2
Nelson,Mora Zuluaga,31,Masculino,408,5
Candelaria,Pinzón Pedraza,34,Femenino,518,3
Leonardo,Espinosa Quintero,28,Prefiero no decir,119,4
Duván,Corredor Salamanca,28,Masculino,31,8
Inés,Montoya Ruiz,34,Prefiero no decir,518,4
Eduardo,Castillo Prieto,28,Masculino,483,5
Diana,Ramírez Beltrán,28,Masculino,207,6
Emilio,Bolaños Flórez,26,Femenino,669,6
Johan,Quintero Sánchez,30,Femenino,579,5
Julián,Vargas Castro,43,Femenino,387,1
Isabel,Fernández Velasco,32,Masculino,412,5
Héctor,Mejía Osorio,37,Femenino,370,5
Kevin,Guerrero Ordóñez,41,Femenino,353,3
Ernesto,Castillo Bonilla,27,Masculino,336,5
Manuel,Pinto Ruiz,44,No binario,289,2
Francisco,Palacios Gutiérrez,39,No binario,140,3
Camilo,Erazo Murcia,35,Masculino,300,5
Lorena,Cifuentes Cerón,35,Femenino,13,3
Natalia,Mercado Calderón,28,Femenino,664,5
Ricardo,Vargas Cardona,24,Femenino,428,6
Eugenia,Martínez Méndez,20,Masculino,400,7
Jorge,Parra Osorio,38,Femenino,109,4
Daniel,Arévalo Peña,36,Prefiero no decir,485,4
Humberto,García Loaiza,32,Masculino,356,3
Danilo,Portilla Ospina,23,Femenino,149,6
María,Pérez Gómez,23,Femenino,716,6
José,Vega Bustos,33,Masculino,307,2
Paola,Valencia Salamanca,37,Masculino,533,8
Olga,Barrera Castañeda,45,Femenino,60,2
Erika,Cárdenas Gómez,27,Masculino,435,5
Luis,Aguirre Mantilla,27,Masculino,21,6
Martha,Narváez Benavides,21,Femenino,382,7
Manuel,Montenegro Valencia,21,Femenino,245,6
Óscar,Pinzón Arias,22,Masculino,73,7
Rafael,Giraldo Ruiz,35,Femenino,449,5
José,Rueda Mendoza,20,Femenino,76,7
Alejandro,Alzate Vargas,37,Masculino,698,3
Adriana,López Montoya,21,Femenino,590,7
Elena,Cardona Jiménez,25,Femenino,390,5
Maritza,Acevedo Montoya,21,Masculino,577,7
María,Ramírez Castrillón,26,Femenino,342,5
Orlando,Muñoz González,24,Femenino,290,6
Juan,Tovar Gamboa,30,Masculino,568,5
José,Pérez García,26,Masculino,331,6
Elisa,Suárez Calderón,40,Masculino,259,3
Duván,Rojas Aguilar,34,Masculino,426,3
Lorena,Ruiz García,35,Masculino,702,4
Helena,Flórez Orozco,38,Masculino,6,4
Enith,Acosta Torres,18,Femenino,6,7
Luis,Arias Rentería,41,Masculino,191,4
Felipe,Navarro Ortega,28,Femenino,148,8
Stiven,Montes Vera,36,Femenino,405,5
Felipe,Salazar García,31,Femenino,258,4
Gladis,Marín Cáceres,20,Femenino,730,7
Alexander,Velasco Amaya,24,Femenino,479,6
Inés,Castañeda Franco,24,Femenino,90,5
Julián,Pérez Sánchez,32,Femenino,10,5
Álvaro,Uribe Ramos,27,Masculino,87,6
Mauricio,Fajardo Caicedo,37,Masculino,762,4
Viviana,Bonilla Pérez,31,Femenino,151,8
Augusto,Medina Alarcón,29,Femenino,625,8
Felipe,Giraldo Rico,28,Masculino,30,6
Samuel,Salazar Méndez,35,Masculino,128,4
Ana,Bonilla Ruiz,22,Femenino,78,6
María,Valderrama Cuéllar,38,Masculino,421,3
Nidia,Fernández Díaz,36,No binario,55,2
Brayan,Mejía Mejía,35,Femenino,480,4
Jorge,Agudelo Bohórquez,32,Masculino,305,5
Adriana,Barbosa Fernández,20,Masculino,546,7
Sebastián,Vergara Camacho,27,Masculino,105,6
María,Ospina Ochoa,27,Masculino,172,6
Wilmer,Pérez Suárez,31,Femenino,499,5
John,Calderón Franco,37,Femenino,22,5
Maritza,González Hernández,35,Prefiero no decir,287,5
Gloria,Mejía Salamanca,36,Femenino,391,8
Jesús,Castaño Vargas,46,Femenino,617,2
Rocío,Murillo Vargas,20,Femenino,149,7
Julián,Rosero Forero,23,No binario,272,6
Milton,Pérez Ángel,33,Femenino,788,5
Tatiana,Arias Hernández,24,Femenino,299,6
Marleny,Rosero Murcia,25,Femenino,172,5
Wilson,Álvarez Guerrero,19,Masculino,47,7
Margarita,Arteaga Gómez,29,Masculino,626,8
Myriam,Sánchez Castrillón,37,Femenino,787,5
Mercedes,Triana Padilla,38,Femenino,207,4
Andrés,Rodríguez Bermúdez,25,Femenino,453,6
Katherin,Cruz Villegas,35,Femenino,395,8
Enrique,Sánchez Pulido,37,Femenino,754,4
Jimena,Ramírez López,22,Masculino,301,6
Sandra,Ávila Quiroga,21,Masculino,708,6
